ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer
1,10KΩ,R1,R0805,1,SDNT2012X103J3950HTF,Sunlord
2,Yellow green 0805,"LED3,LED4",LED0805-R-RD,2,Yellow green 0805,KENTO
3,1K,"R3,R2",R0805,2,TC0525B1001T5E,UniOhm
4,micro USBFemale,USB1,MICRO-USB-SMD_5P-P0.65-H-F_C10418,1,micro USBFemale,ValuePro
5,AMS1117-3.3_C165482,U3,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3,SK
6,Header-Male-2.54_1x4,"H1,H2",HDR-TH_4P-P2.54-V,2,210S-1*4P L=11.6MMGold-plated black,Ckmtw
7,100,R4,R0805,1,080500F1000T5E,UniOhm
8,100nF,"C8,C4",C0805,2,CL21B104KCFNNNE,SAMSUNG
9,10uF,"C3,C2",C0805,2,0805F106M160NT,FH
10,cc2652 Modul,U1,RF-BM-2652P2,1,RF-star,
11,SKRKAEE020,"RST1,BSL1",SW-SMD_L3.9-W3.0-P4.45,2,SKRKAEE020,ALPS
