ID,Name,Designator,Footprint,Quantity,Manufacturer Part
1,DEBUG,H3,HEADER 1X9_2.54,1,
2,10K,R1,1206,1,1206W4J0103T5E
3,micro USBFemale,USB1,MICRO-USB-SMD_5P-P0.65-H-F_C10418,1,micro USBFemale
4,Header-Male-2.54_1x4,H2,HDR-TH_4P-P2.54-V,1,210S-1*4P L=11.6MMGold-plated black
5,WT32-ETH01,U2,WT32-ETH01,1,WT32-ETH01
6,100,R4,R0805,1,080500F1000T5E
7,Header-Male-2.54_1x2,H1,HDR-TH_2P-P2.54-V,1,826629-2
8,3.3v_Jumper,H4,HDR-TH_2P-P2.54-V,1,826629-2
9,cc2652 Modul,U1,RF-BM-2652P2,1,RF-star
10,SKRKAEE020,BSL,SW-SMD_L3.9-W3.0-P4.45,1,SKRKAEE020
